Array Type,Algorithm,          Array Size          ,Time (seconds)
Ascending,Bogo Sort,10,0
Ascending,Bogo Sort,100,0
Ascending,Bogo Sort,"1,000.00",0
Ascending,Bogo Sort,"10,000.00",0
Ascending,Bogo Sort,"100,000.00",0
Ascending,Bogo Sort,"1,000,000.00",0
Ascending,Bogo Sort,"10,000,000.00",0
Ascending,Bogo Sort,"100,000,000.00",0.03
Ascending,Bubble Sort,10,0
Ascedning,Bubble Sort,100,0
Ascending,Bubble Sort,"1,000.00",0
Ascending,Bubble Sort,"10,000.00",0
Ascending,Bubble Sort,"100,000.00",0
Ascending,Bubble Sort,"1,000,000.00",0
Ascending,Bubble Sort,"10,000,000.00",0
Ascending,Bubble Sort,"100,000,000.00",0.04
Ascending,Selection Sort,10,0
Ascending,Selection Sort,100,0
Ascending,Selection Sort,"1,000.00",0
Ascending,Selection Sort,"10,000.00",0.01
Ascending,Selection Sort,"100,000.00",0.92
Ascending,Selection Sort,"1,000,000.00",94.12
Ascending,Selection Sort,"10,000,000.00",120
Ascending,Insertion Sort,10,0
Ascending,Insertion Sort,100,0
Ascending,Insertion Sort,"1,000.00",0
Ascending,Insertion Sort,"10,000.00",0
Ascending,Insertion Sort,"100,000.00",0
Ascending,Insertion Sort,"1,000,000.00",0.01
Ascending,Insertion Sort,"10,000,000.00",0.04
Ascending,Insertion Sort,"100,000,000.00",0.42
Ascending,Merge Sort,10,0
Ascending,Merge Sort,100,0
Ascending,Merge Sort,"1,000.00",0
Ascending,Merge Sort,"10,000.00",0
Ascending,Merge Sort,"100,000.00",0.01
Ascending,Merge Sort,"1,000,000.00",0.11
Ascending,Merge Sort,"10,000,000.00",0.81
Ascending,Merge Sort,"100,000,000.00",7.61
Ascending,Quick Sort,10,0
Ascending,Quick Sort,100,0
Ascending,Quick Sort,"1,000.00",0
Ascending,Quick Sort,"10,000.00",0
Ascending,Quick Sort,"100,000.00",0.02
Ascending,Quick Sort,"1,000,000.00",0.07
Ascending,Quick Sort,"10,000,000.00",0.81
Ascending,Quick Sort,"100,000,000.00",6.94
,,,
Array Type,Algorithm,          Array Size          ,Time (seconds)
Random,Bogo Sort,10,0.02
Random,Bogo Sort,100,120
Random,Bubble Sort,10,0
Random,Bubble Sort,100,0
Random,Bubble Sort,"1,000.00",0
Random,Bubble Sort,"10,000.00",0.12
Random,Bubble Sort,"100,000.00",15.77
Random,Bubble Sort,"1,000,000.00",120
Random,Selection Sort,10,0
Random,Selection Sort,100,0
Random,Selection Sort,"1,000.00",0
Random,Selection Sort,"10,000.00",0.02
Random,Selection Sort,"100,000.00",1.21
Random,Selection Sort,"1,000,000.00",120
Random,Selection Sort,"10,000,000.00",120
Random,Insertion Sort,10,0
Random,Insertion Sort,100,0
Random,Insertion Sort,"1,000.00",0
Random,Insertion Sort,"10,000.00",0.03
Random,Insertion Sort,"100,000.00",0.75
Random,Insertion Sort,"1,000,000.00",78.91
Random,Insertion Sort,"10,000,000.00",120
Random,Merge Sort,10,0
Random,Merge Sort,100,0
Random,Merge Sort,"1,000.00",0
Random,Merge Sort,"10,000.00",0
Random,Merge Sort,"100,000.00",0.02
Random,Merge Sort,"1,000,000.00",0.16
Random,Merge Sort,"10,000,000.00",1.77
Random,Merge Sort,"100,000,000.00",19.81
Random,Quick Sort,10,0
Random,Quick Sort,100,0
Random,Quick Sort,"1,000.00",0
Random,Quick Sort,"10,000.00",0
Random,Quick Sort,"100,000.00",0.01
Random,Quick Sort,"1,000,000.00",0.11
Random,Quick Sort,"10,000,000.00",1.2
Random,Quick Sort,"100,000,000.00",13.68
,,,
Array Type,Algorithm,          Array Size          ,Time (seconds)
Descending,Bogo Sort,10,0.52
Descending,Bogo Sort,100,120
Descending,Bubble Sort,10,0
Descending,Bubble Sort,100,0
Descending,Bubble Sort,"1,000.00",0
Descending,Bubble Sort,"10,000.00",0.09
Descending,Bubble Sort,"100,000.00",9.15
Descending,Bubble Sort,"1,000,000.00",120
Descending,Selection Sort,10,0
Descending,Selection Sort,100,0
Descending,Selection Sort,"1,000.00",0
Descending,Selection Sort,"10,000.00",0.02
Descending,Selection Sort,"100,000.00",1.96
Descending,Selection Sort,"1,000,000.00",120
Descending,Insertion Sort,10,0
Descending,Insertion Sort,100,0
Descending,Insertion Sort,"1,000.00",0
Descending,Insertion Sort,"10,000.00",0.06
Descending,Insertion Sort,"100,000.00",6.01
Descending,Insertion Sort,"1,000,000.00",120
Descending,Merge Sort,10,0
Descending,Merge Sort,100,0
Descending,Merge Sort,"1,000.00",0
Descending,Merge Sort,"10,000.00",0
Descending,Merge Sort,"100,000.00",0.01
Descending,Merge Sort,"1,000,000.00",0.08
Descending,Merge Sort,"10,000,000.00",0.85
Descending,Merge Sort,"100,000,000.00",8.89
Descending,Quick Sort,10,0
Descending,Quick Sort,100,0
Descending,Quick Sort,"1,000.00",0
Descending,Quick Sort,"10,000.00",0
Descending,Quick Sort,"100,000.00",0.01
Descending,Quick Sort,"1,000,000.00",0.07
Descending,Quick Sort,"10,000,000.00",0.69
Descending,Quick Sort,"100,000,000.00",6.96
